,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x3839c66788104c7c836f3dca3cb8bb0f400e22bc99837295d02183ebcd82cc64,3759084,1495618426,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x06fed18718975d9e178e0c0fea35c18eac794c3f,9.995,,0x,0
1,0x646227225dd1f0372f55eec4831f16dbe9d216a01c4848f40388949de56601d1,3759117,1495619039,0x06fed18718975d9e178e0c0fea35c18eac794c3f,0x0ea87fd97c9d5901efd1d5c78914fcd1d60344f6,8.5026318,,0x,0
2,0x713bdaa8f7f87e015fab338556a03bff932fb1c893335f430ce0c10e1e5be4da,3759135,1495619479,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x06fed18718975d9e178e0c0fea35c18eac794c3f,589.98424,,0x,0
3,0xeb462dcba69d1fc7dea9074f1e6554c154c73bc6c65aa92fbc68adcca3f0d967,3759144,1495619610,0x06fed18718975d9e178e0c0fea35c18eac794c3f,0xe596f881747523ebbb75dce4ba7a100b74b5171d,59.62199824,,0x,0
4,0x50c27e1a1674063cdc45b78a2cef029f5fe66bda05c72d7c540a6eb76e9f86be,3759147,1495619651,0x06fed18718975d9e178e0c0fea35c18eac794c3f,0x30745077ce5835484bc3ed791f1b4b5c7353c2de,56.48977184,,0x,0
5,0xfc3864348946753288661e80ebb6807af13714cf17c97cda46f6ca8a837d1721,3759153,1495619744,0x06fed18718975d9e178e0c0fea35c18eac794c3f,0x1d3654cfabff23a17128d5f382e012ee5a0f3c27,54.26069656,,0x,0
6,0x8e387aa7e450e755cca68ce2f5529b3b7938dd0d3a322096734aa634f429b252,3759155,1495619766,0x06fed18718975d9e178e0c0fea35c18eac794c3f,0xf0aeb4dfded2b6c826af08b3a54e4b3299388469,22.700952190000002,,0x,0
7,0x4e5889131fc6c697cc7bbd8a58aa9de5b47ded73c302d41d152278c5b4631763,3759156,1495619815,0x06fed18718975d9e178e0c0fea35c18eac794c3f,0x583244fe165b5acf3f0b90c6116ebe6162f003e8,20.0,,0x,0
8,0x7e7b7aa120a7445a391f8099d4d22e32093da534bca58bc2fb19766491204954,3759170,1495619953,0x06fed18718975d9e178e0c0fea35c18eac794c3f,0xfe890dd695a6b2b1a79a5e7abeeb7a36ac0917ed,16.75640585,,0x,0
9,0x626c6c6fc8bd351ee75be1c8b5c264dbc033a45fde1a7012bc6450baf2af6bfc,3759185,1495620209,0x06fed18718975d9e178e0c0fea35c18eac794c3f,0xa0dde71dc37e9391f8442ef007b5e0540a048c6f,44.85463143,,0x,0
