,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
1,0xc142c3b70cac468c35fcd5d2b04f3579d0e596bb772e2ff98245623800df6711,1288885,1459973014,0xd678de961ca01bbaea3e0b347141cd1ed8f10c36,0x1afd952269873fe009c7bdff5f07fd91605a7227,0.5,,0x,0
2,0x5e7eb7ed1c9d2c17b908b118c9440bd712ae43dff76661f0cfe58e464cd977b8,1288885,1459973014,0x9d3baa3b83a3e4e7171d2dd73cdbd8ef5dae4012,0x1afd952269873fe009c7bdff5f07fd91605a7227,1.0,,0x,0
3,0x15d0794af301bce2cd6acddf1c556a70b3310259aab20db089bc680ed4c2b615,1288894,1459973155,0xe8b0109e7c758645af9c5ecef9622d647d6fe21d,0x1afd952269873fe009c7bdff5f07fd91605a7227,3.0,,0x,0
4,0x1469d50d89cf65f721458066192aeeb3f8723d8026bf506ac27254177069ac57,1288918,1459973555,0x54e85949768cbf73257404bc9b6e291380e0f956,0x1afd952269873fe009c7bdff5f07fd91605a7227,0.5,,0x,0
5,0xf92e02bbb0384d599f1fbb435cb459114ed9fbc687de6f767f0891a39d0a835e,1288928,1459973699,0xe2e404bb8de94ffd8c654b2c59fc554bd8c761c7,0x1afd952269873fe009c7bdff5f07fd91605a7227,0.1,,0x,0
6,0x937e426378821e07872b523c4db851b2671c7c859b6f6d2baa4e23916ef71f05,1288939,1459973870,0x9d3baa3b83a3e4e7171d2dd73cdbd8ef5dae4012,0x1afd952269873fe009c7bdff5f07fd91605a7227,2.8,,0x,0
7,0xb0786e48ec74bf47de525603d445e2042caf8c73ad7e369036d12a24aa6a6ada,1288943,1459973963,0xe8b0109e7c758645af9c5ecef9622d647d6fe21d,0x1afd952269873fe009c7bdff5f07fd91605a7227,2.0,,0x,0
8,0x767f0c7aa9145d8afdd2aa15d0be141bb31a3d635744c958d8217b37dc6bddbd,1288945,1459974004,0x5dec981c2216c6390475dd891909a4b023919267,0x1afd952269873fe009c7bdff5f07fd91605a7227,1.0,,0x,0
9,0xf119e6d2a7762048d3e3b19796c0edd7bbf56e55da1b2431bdf9694ab15c92ee,1289165,1459977151,0x6e05ce4aef57eb1db331477eaa3a4e8902ac052b,0x1afd952269873fe009c7bdff5f07fd91605a7227,0.60564,,0x,0
10,0x716ad25aa7413ec9ad0ebd854a09cc2a8951484583a2d31e5c43ef60cb6622b0,1289191,1459977423,0x6e05ce4aef57eb1db331477eaa3a4e8902ac052b,0x1afd952269873fe009c7bdff5f07fd91605a7227,0.01,,0x,0
11,0x295cfc251aa729b671162749f3b02ba8e623f3bd3993dc1f26d063665c502249,1289206,1459977617,0x6e05ce4aef57eb1db331477eaa3a4e8902ac052b,0x1afd952269873fe009c7bdff5f07fd91605a7227,2.64,,0x,0
12,0xee7999dcee24bf3518fa1d2120626d79e8d674512001ad7424ca77c5ff0c751f,1289442,1459980936,0xb5735aa45cc756430151bf460a647a33ec2c057d,0x1afd952269873fe009c7bdff5f07fd91605a7227,0.5,,0x,0
