,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x95ee606f7490d105a54c50751f011c20d0c0e8f627323c3da468c57550ec8740,4892356,1515701027,0x8b9606321262286bad48780db039e28b3f53fd49,0x1c304b475b3a5cab26a1f40f3ae94c6fdac4cdda,0.5,,0x,0
1,0x69da819df3c346057f87b2126645474ebeb145d7b07630a9ce19193ca166c2fe,4892431,1515702223,0x8b9606321262286bad48780db039e28b3f53fd49,0x1c304b475b3a5cab26a1f40f3ae94c6fdac4cdda,3.9,,0x,0
2,0x56c82c8cd87e2800f24a52cd0ec43db8dc462a374fe344d657d44b28034fcac7,4892538,1515703761,0x8f1243f1725928538b42bf2943d3053938463e68,0x1c304b475b3a5cab26a1f40f3ae94c6fdac4cdda,4.2,,0x,0
3,0x166aad777ba7a78e1516990d72167d8b6831ef5a59a616cd664268f2679fab22,4892627,1515705101,0x06ed8cde4da46019043d7b6b79cd2e1619b0dec2,0x1c304b475b3a5cab26a1f40f3ae94c6fdac4cdda,200.0,,0x,0
4,0x86036a8ad0c8691457eb7c172b3ef02906f4642bf1d201af29bab7970ac52eb5,4892662,1515705630,0x06ed8cde4da46019043d7b6b79cd2e1619b0dec2,0x1c304b475b3a5cab26a1f40f3ae94c6fdac4cdda,300.0,,0x,0
5,0x12a9990a8681e04048102b5c72ab185c45f75837de35ba1698c482efec2249fd,4892675,1515705935,0x06ed8cde4da46019043d7b6b79cd2e1619b0dec2,0x1c304b475b3a5cab26a1f40f3ae94c6fdac4cdda,313.0,,0x,0
6,0x988b2af3dff8c63796ef8d083469a46fea8811e0eeeefa86bc36eaf5e26e4722,4920246,1516140552,0x1c304b475b3a5cab26a1f40f3ae94c6fdac4cdda,0x6a1c42ab9e794497cc7dd785441a7f0852f6d8a9,100.0,,0x,0
7,0x4105f946612eb6688df688fb9bbea2d6a015d45d546aab3554e3826e9d4f0649,7140895,1548711007,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x1c304b475b3a5cab26a1f40f3ae94c6fdac4cdda,99.995,,0x,0
8,0xf9bf149e80410dcbe0dff6d4ad1e0fd8cdbbd67771878f5a8f84882bb0514205,9146373,1577029719,0x1c304b475b3a5cab26a1f40f3ae94c6fdac4cdda,0x8f1243f1725928538b42bf2943d3053938463e68,0.1,,0x,0
9,0x1a0c95dce302c620413feb9cadcd6a3e23e9fb7a49d75e197c7c51d071b26146,9146382,1577029895,0x1c304b475b3a5cab26a1f40f3ae94c6fdac4cdda,0x048b9a0423474499c51613d1bba4b36a070615b7,0.1,,0x,0
10,0x836c70a777b6040732a2f2f49d9ec59fd0364ae0797b8effb551c0de9cf9829b,11848756,1613225693,0x1c304b475b3a5cab26a1f40f3ae94c6fdac4cdda,0x4a6d52b9b10f21a264467266bc92d14858941f1e,110.0,,0x,0
11,0x402f1076a057c798522921a406082ba11954576e7119bcaf52183064d9a4958e,11894827,1613837856,0x1c304b475b3a5cab26a1f40f3ae94c6fdac4cdda,0x06ed8cde4da46019043d7b6b79cd2e1619b0dec2,32.0,,0x,0
12,0x53a25edc86387dc824eab72613a274cc438aeab60202873acdb71b693d1a562e,15953811,1668254627,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x1c304b475b3a5cab26a1f40f3ae94c6fdac4cdda,5.85172,,0x,0
13,0x6179163b68d588d15574a261061c107b0aa47b174e119f5b6783a5d3edb08c75,18403670,1697951483,0x06e6310dea488e4a8fe6338f01f08e629d30dec2,0x1c304b475b3a5cab26a1f40f3ae94c6fdac4cdda,1e-05,,0x,0
