,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
1,0x913d3cbefd6bc576ec96cb2de540f890b75bd2f4d89134d89d03c1277d4b70f8,3777311,1495906967,0x1fa50344d0529e90b94e82cacbabf65cae6092c4,0x1fe7a92013b295ff98da0954b7a08e603754a1bf,0.1,,0x,1
2,0x565ab203a0a91c4da09232e08db19fe34e4b727afe157ec508e82d6d071e5f93,3777337,1495907246,0x1fa50344d0529e90b94e82cacbabf65cae6092c4,0x1fe7a92013b295ff98da0954b7a08e603754a1bf,0.1,,0x,1
3,0x3cd1985859cb645c6c1b2740f840fb096544a1b4b4c0c8d96f3b01547b9659cc,3777366,1495907730,0x1fa50344d0529e90b94e82cacbabf65cae6092c4,0x1fe7a92013b295ff98da0954b7a08e603754a1bf,0.1,,0x,0
4,0xf7b2245024627b1972160adf9710787eadbacf28e492b6ee553ab6cd001641a0,3777408,1495908280,0x983d6398786e39ca0e55ee1e591ae50b5c26582a,0x1fe7a92013b295ff98da0954b7a08e603754a1bf,150.0,,0x,0
5,0x308e1d7c3143bacbde7869a96e48a1d9a7ca51073a0a04dc72b1d090bdce9c21,3777416,1495908382,0x3c6211a64508c45f5cd9fee363610d9dcb6000ed,0x1fe7a92013b295ff98da0954b7a08e603754a1bf,0.12928574,,0x,0
6,0x8d1277e06862f02ec8fa07c96696f2fa9ae24b6e10c385d3b8830053be5912d3,3777604,1495911028,0x1fb3356af7311a70f821b30b4fdbb7ef2f054043,0x1fe7a92013b295ff98da0954b7a08e603754a1bf,7.0,,0x,1
7,0x125bdf27fb6598ff42799fb50aaf6c9f14f19a1a68e633df87f0e19cc859aafd,3777607,1495911084,0xfcd991ba83bb0c10132ed03989e616916591a399,0x1fe7a92013b295ff98da0954b7a08e603754a1bf,0.2,,0x,0
8,0x50d8915988696f69dafbef270366e7bcec470c9ca56c864d36cd6e35d229c6f2,3777611,1495911134,0x1fb3356af7311a70f821b30b4fdbb7ef2f054043,0x1fe7a92013b295ff98da0954b7a08e603754a1bf,7.0,,0x,1
9,0x6aa22b57c9dfbd4a1d7b4d4ad6bd50ac2e7f4bc7308172d705ab1e52a5450ac7,3777616,1495911243,0xfe1e0980044f1ccebfc36ec6a5123cbcd69b15c4,0x1fe7a92013b295ff98da0954b7a08e603754a1bf,1.0,,0x,0
10,0x5def406be4c066fd3e33df43aa72bf70a31c5621da957abbba527092005da52a,3777664,1495912137,0x1fa50344d0529e90b94e82cacbabf65cae6092c4,0x1fe7a92013b295ff98da0954b7a08e603754a1bf,0.11,,0x,0
11,0x357f3364818473511d3bd88e961d6eb48857c96966ca11e48e09ac8bf1ad1a9a,3777706,1495912741,0xc16447fd304331d0dc518947fcb2e4b876b29247,0x1fe7a92013b295ff98da0954b7a08e603754a1bf,7.7,,0x,0
12,0x66712f741dd3eafb231cc51723d50bc349768d197332cab774acd94ca1203511,3777710,1495912803,0x73af5f16ffac2efd4a53e779b5fd9029e9dd8710,0x1fe7a92013b295ff98da0954b7a08e603754a1bf,0.97,,0x,0
13,0x2142ece568c02209aa0536378f70423adfb82579e8b25a95c5c4bfb5ef4ab6f5,3777717,1495912907,0x73af5f16ffac2efd4a53e779b5fd9029e9dd8710,0x1fe7a92013b295ff98da0954b7a08e603754a1bf,5.0,,0x,0
14,0xef2dde5c8f2a48d7d73437170e3bcb2f9885e5e03b345d575c83d0f884eee8f2,3777718,1495912912,0x73af5f16ffac2efd4a53e779b5fd9029e9dd8710,0x1fe7a92013b295ff98da0954b7a08e603754a1bf,0.9,,0x,0
15,0x7f9c728f4c9bdf80dc38fbe1728b83fe8e48efdd7d000aee78fdee341d9a3fba,3778043,1495917985,0x0994ade5ecbfb38401a95ab86a66c8e991e58243,0x1fe7a92013b295ff98da0954b7a08e603754a1bf,0.4,,0x,0
16,0x7e569fd60ff844dfde1726e90588323c0f5cc2669243032222f3f69e126e11d3,3778050,1495918128,0x0994ade5ecbfb38401a95ab86a66c8e991e58243,0x1fe7a92013b295ff98da0954b7a08e603754a1bf,1.48653469,,0x,0
17,0x354fb4cd5f9e3c54df5b6ac0ca132000a90fed2eca7e3689ce79cf78f2c0534d,3778144,1495919727,0x344c97aef984d928676f82c2bedb1d159efe3d7f,0x1fe7a92013b295ff98da0954b7a08e603754a1bf,1.15539,,0x,0
18,0x59876f47bbe5963c94e733780aae729edf0e8a0f27f17da8e4cc62dfb5b61bfd,3778455,1495924668,0xae085f56bffcc4b3cc36de49519f3185e09e64e7,0x1fe7a92013b295ff98da0954b7a08e603754a1bf,0.88,,0x,0
19,0x7ccd8db4369165ce7592b1ac8ff22fc2772dad3b72d741e685fb7541a54cc837,3778681,1495928551,0x49225fe668e02c1a65c1075d8dba32838e1548ed,0x1fe7a92013b295ff98da0954b7a08e603754a1bf,3.3,,0x,0
20,0x332d07632aebe3a8a5e60c8776b49ec1f9380f25561e50596dae2bcd18739869,3783538,1496005214,0x2734168834b8087f507d6f9e8c6db2ed2deaab1b,0x1fe7a92013b295ff98da0954b7a08e603754a1bf,2.0,,0x,0
21,0x39bc03cb898e08e1420c13b8f30c7d4a9693a9d3853bd9b969ddd4b50266d2fe,3783634,1496006708,0x595488e62ebe727049c096eeece474b349bf294e,0x1fe7a92013b295ff98da0954b7a08e603754a1bf,0.35,,0x,0
