,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
1,0x9a18d11d4c5608e8beaebcffd75f2854d6bc4bfb55b46612d600f7b201e85c21,1374789,1461206568,0x627fbcc6d0590d2186c44df4cc178f2793210a10,0x294308484f47ff5a833a284ac6949eb02728fbe4,1.0,,0x,0
2,0xe01462c8d6c862d3aff9c4f1d803120160041c63f79ae537e641756145ea5053,1374881,1461207868,0x04528fb91840ce4bcfc7390919a455d530da8ecb,0x294308484f47ff5a833a284ac6949eb02728fbe4,1.0,,0x,0
3,0x40cf1c091508e00dde1a00313fe959d6e4767d81af6bcdab6f95d05891bc9747,1374886,1461207940,0xdfb692d180cae04bb29b6cd9878ede2ec8e79f45,0x294308484f47ff5a833a284ac6949eb02728fbe4,0.075,,0x,0
4,0x4305bc778627b3abef5459c683053fba8b088edc742599a3e864461bee48e704,1374927,1461208576,0x04528fb91840ce4bcfc7390919a455d530da8ecb,0x294308484f47ff5a833a284ac6949eb02728fbe4,1.0,,0x,0
5,0x42dc5fdac58be36a42f3888bf451fd67884fa9003affba1543b765d8563829d4,1374970,1461209114,0x1fbb2d5aa97e5ffde30058223a7a324538db3f45,0x294308484f47ff5a833a284ac6949eb02728fbe4,1.5,,0x,0
6,0x80b76b1c86825ee2f3439795efa0be8a4a5147e33e1907c9ae037c4e6c4ffe3c,1375011,1461209699,0xd4e4bf9cd82d7f9fc589d4b288174ce1edfae2b6,0x294308484f47ff5a833a284ac6949eb02728fbe4,0.2,,0x,0
7,0xc7148491f8877c3b840cd4a9d5849df015a96dd408cf5d992784b8e075331db7,1375103,1461210729,0xdfb692d180cae04bb29b6cd9878ede2ec8e79f45,0x294308484f47ff5a833a284ac6949eb02728fbe4,0.5,,0x,0
8,0x073e816a185c7d63d40e8d06adedd27ac54741e6d5f6aff6bc7e756a2ca12787,1375172,1461211574,0x1fbb2d5aa97e5ffde30058223a7a324538db3f45,0x294308484f47ff5a833a284ac6949eb02728fbe4,0.4,,0x,0
9,0xf5fa037974a1e07166c80b8a218a821acf9a9b6f3bd4a7606e263407d1ba89d0,1375404,1461215268,0x71cee6b7e304df3f41332b0ad4579f885709b6d4,0x294308484f47ff5a833a284ac6949eb02728fbe4,1.0,,0x,0
10,0x605dd8717cbfb683ef8d61a2cf822aa940e9ad0463a1dc711a698a21511cd312,1375623,1461218433,0xd4e4bf9cd82d7f9fc589d4b288174ce1edfae2b6,0x294308484f47ff5a833a284ac6949eb02728fbe4,0.4,,0x,0
11,0x5055225746cf194e66b686cdb30b99708cc577aa9c594ea8570ca3b66bff51c3,1375648,1461218850,0x627fbcc6d0590d2186c44df4cc178f2793210a10,0x294308484f47ff5a833a284ac6949eb02728fbe4,1.0,,0x,0
12,0x2a1631e8a13c16a406f7d0b9526e51ef1d4265cf748c6ed1101eaff4308fac14,1375700,1461219588,0x01cc833db0d1ee4c57e9e3a9f90ce8ebe8ad2aea,0x294308484f47ff5a833a284ac6949eb02728fbe4,0.9,,0x,0
13,0x2fb7002448b2117591dddd63502ff8f145269c3069c7181329d38f24e8d486c3,1375944,1461223180,0x04528fb91840ce4bcfc7390919a455d530da8ecb,0x294308484f47ff5a833a284ac6949eb02728fbe4,1.7,,0x,0
14,0x506597933893dcdaf232a55e18e2cf91d5387123795c5ec51b20b0b8422aad0c,1377222,1461241364,0x5fd8f58db0d51b44e3070bb1ed019616c992a827,0x294308484f47ff5a833a284ac6949eb02728fbe4,3.5,,0x,0
15,0xac2664ec4e37c57ec1d7d07be17077cb998ed51c5357cf4ceb88f97c9591f380,1377286,1461242322,0x5fd8f58db0d51b44e3070bb1ed019616c992a827,0x294308484f47ff5a833a284ac6949eb02728fbe4,3.0,,0x,1
16,0x6748f42a0dc95f0cd7237f9d3fe2a3d64402b6db6ef83085fd15526805aa4b44,1377313,1461242646,0x5fd8f58db0d51b44e3070bb1ed019616c992a827,0x294308484f47ff5a833a284ac6949eb02728fbe4,2.5,,0x,0
17,0x80c1d4e145df68a449be163b23634f84a37ec4806e24549b453491cd68b00654,1378916,1461265836,0x71cee6b7e304df3f41332b0ad4579f885709b6d4,0x294308484f47ff5a833a284ac6949eb02728fbe4,1.0,,0x,0
18,0x5187fa43e966f128f815a365bd7cb2dcea5572e71fe3e246a4c3a2b4609a7d29,1378988,1461266947,0x5fd8f58db0d51b44e3070bb1ed019616c992a827,0x294308484f47ff5a833a284ac6949eb02728fbe4,3.0,,0x,0
19,0x8da5525bccc26c6232599fca4d0d9c61991ab69e47d4f86f9adeabf418a0e1ca,1379318,1461271729,0xd304b3dc07c42501ae08f11df9bac2a60cfeb064,0x294308484f47ff5a833a284ac6949eb02728fbe4,4.9,,0x,0
