,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x11a5b0b9553d09b84fca075ac4b0c79fb3c2d94447859cad4c29aa57fb2ab8f7,3319361,1489048774,0xd6796023db8d61d1bc695869fcbeaea742042051,0x3e3eba62ea50474775f40199a60bda358f454de6,2.0,,0x,0
1,0xce88e1a4370198887f72e1296c7f6b4e6388b0b0bf45c4949f02b8bafd8c4c4f,3325967,1489144796,0xd6796023db8d61d1bc695869fcbeaea742042051,0x3e3eba62ea50474775f40199a60bda358f454de6,285.33257892,,0x,0
2,0xc5babf404f59655721c3da6a5a1507a62a22ff928c83a24d21ecd8ec886007b7,3326088,1489146618,0xd6796023db8d61d1bc695869fcbeaea742042051,0x3e3eba62ea50474775f40199a60bda358f454de6,283.47388969,,0x,0
3,0xebff980193c72a9055fa4cb6bc179fb46fc9958c1fb2171623799f81e8ad54c2,3361095,1489652212,0x63f76d6edd96f405cd8a124e049c2b5049059153,0x3e3eba62ea50474775f40199a60bda358f454de6,26.875,,0x,0
4,0x49b3cc7ec3afb57002e80b637622cf80530ad419f67b283c57f1b53eab783b43,3475825,1491315698,0xd6796023db8d61d1bc695869fcbeaea742042051,0x3e3eba62ea50474775f40199a60bda358f454de6,50.0,,0x,0
5,0xc9351e146fae8d38b6209869ff7f5bc5142a6fe38c55774c5de652ea8978544b,3561907,1492586842,0xd6796023db8d61d1bc695869fcbeaea742042051,0x3e3eba62ea50474775f40199a60bda358f454de6,64.55726797,,0x,0
6,0x59fb198ae28b5344c683bdecf04b1b7368d13c2c348e8faa960e4124beef3769,3638390,1493739696,0xd6796023db8d61d1bc695869fcbeaea742042051,0x3e3eba62ea50474775f40199a60bda358f454de6,15.39124183,,0x,0
7,0xbd8fbf50b926d784d626a6afb64f90eeb98be9911ebd410aedf1745ee5aed38e,3638390,1493739696,0xd6796023db8d61d1bc695869fcbeaea742042051,0x3e3eba62ea50474775f40199a60bda358f454de6,15.38711559,,0x,0
8,0x175fcc8eb341091afafda657f84300fcbfe79bce7ceafe6ddbaa302b67520a95,3712579,1494878669,0x63f76d6edd96f405cd8a124e049c2b5049059153,0x3e3eba62ea50474775f40199a60bda358f454de6,50.0,,0x,0
9,0xe9bea11e64414b521353291f84db2aa13a19f5fbd959a3b9867913d9e348ca92,3792541,1496145728,0x3e3eba62ea50474775f40199a60bda358f454de6,0x376ec21445dafb4009d122ce2010e967bcf55853,13.0,,0x,0
10,0x78da6f7376b58a73f78742c1e1b98891fdbee11c7c78cdfafb2d165803998c55,3792851,1496150708,0x376ec21445dafb4009d122ce2010e967bcf55853,0x3e3eba62ea50474775f40199a60bda358f454de6,12.999559,,0x,0
11,0x5a71de39da461248c610063880f0afe19bf36dbe97d4a8608b202e95b08ac07d,3793120,1496154778,0x3e3eba62ea50474775f40199a60bda358f454de6,0xacdb375d2e16b11db90453dab72ee59f3b615e3c,0.1,,0x,0
