,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xb0908ff43e8207664bac295e58107c02caab01dc682e6e53b3d35caffae04d53,4302086,1506095030,0xb3aaaae47070264f3595c5032ee94b620a583a39,0x42673b70bfe2e992c61dac235a6b5275b471c4ae,200.0,,0x,0
1,0x628e69c965f636ea63ff8c67c6cb8081416bbd6654ec51ef64eee5c0dae95365,4302098,1506095390,0x42673b70bfe2e992c61dac235a6b5275b471c4ae,0xda72c27d772fe61277b66a2b4a0d3e34cb450296,5.0,,0x,0
2,0xa67972c4a6fd63a45ce87848fae934143aa62a27cf47b56e696c4649862d7e8a,4302105,1506095570,0xb3aaaae47070264f3595c5032ee94b620a583a39,0x42673b70bfe2e992c61dac235a6b5275b471c4ae,5.000441,,0x,0
3,0xf083d90748fadf28efd1abeaea6e100bd0a618d902ea9b72241ed0d9e6c5d5b1,4307645,1506260846,0xb3aaaae47070264f3595c5032ee94b620a583a39,0x42673b70bfe2e992c61dac235a6b5275b471c4ae,200.0,,0x,0
4,0xd8a63fb5b03fb6882ed5c3baa9708e78fb8a24fe33f560f68409baaa5e5db33f,4311510,1506376717,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0x42673b70bfe2e992c61dac235a6b5275b471c4ae,200.0,,0x,0
5,0xeb63a3536edd341332410a40046c8fdeda2a8024b96ff214bba8a5ef00caa7d6,4390816,1508435389,0x7c757ddebbe832b825a83edac88dc06b7bc463fa,0x42673b70bfe2e992c61dac235a6b5275b471c4ae,1.0,,0x,0
6,0x04cb895246f1c584d8069ac2be5c5e69e23622fa512eb4c042d7576e5ebc2d0c,4394989,1508493923,0x42673b70bfe2e992c61dac235a6b5275b471c4ae,0x7402cbb26edfbbe42c1554965154216179958c14,0.1,,0x,1
7,0xf4642b6655ff6b710c9917b602098f427cd9e579f02f920c24c383eb3d9e31d6,4395048,1508494691,0x42673b70bfe2e992c61dac235a6b5275b471c4ae,0x7402cbb26edfbbe42c1554965154216179958c14,0.01,,0x,1
8,0x10c1cd12b9091755ac8b038b201d7279c853033adb1128a0500073897ffd3991,4395150,1508496048,0x42673b70bfe2e992c61dac235a6b5275b471c4ae,0xda72c27d772fe61277b66a2b4a0d3e34cb450296,0.1,,0x,0
9,0xb58f4b23d6c45b27c9fe73fa0e0ab09414b0a4c9bead092768729d2270eb1eb4,4395182,1508496490,0xb3aaaae47070264f3595c5032ee94b620a583a39,0x42673b70bfe2e992c61dac235a6b5275b471c4ae,0.100315,,0x,0
