,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xc5a74d91926333fc499d141758dfe2fbd8694e74e113e16bb2afc1fe65784c25,6679821,1541872198,0x1ec955343d2d808a4a874571d523192658f08878,0x4b77f908e72890419bea345677c4879bc19979e3,0.1,,0x,0
1,0x331a9caa1e04ff87979aa067161233ab472e4c2a7b6d31b3ff2efd8bb406c6d7,6679914,1541873381,0x1ec955343d2d808a4a874571d523192658f08878,0x4b77f908e72890419bea345677c4879bc19979e3,44.804691090000006,,0x,0
2,0xc123913a2f51748c4aacaa2c0346f37b818447c10de3b38273c41e209bfc96b5,6704652,1542223498,0x1ec955343d2d808a4a874571d523192658f08878,0x4b77f908e72890419bea345677c4879bc19979e3,5.6994,,0x,0
3,0x8e408ce0f572684014283dbf2437444824697d6d872e062dc771754cc155da04,6825077,1543934033,0x4b77f908e72890419bea345677c4879bc19979e3,0x85d91d35d04b0048daaa39eb2837d17eed8cc508,50.60360809,,0x,0
4,0x42be50f65e1f36deb2132b6c002e4c12454bc6291f09d51c49119cfc113399d4,7113861,1548247690,0x60aa4d82aa767fc084db7ff865dd761235485396,0x4b77f908e72890419bea345677c4879bc19979e3,10.0,,0x,0
5,0xbc660fc981c13fee40bc5044a3422f1df9c3f32da1b256bd2989b3b501424e06,7113870,1548247906,0x60aa4d82aa767fc084db7ff865dd761235485396,0x4b77f908e72890419bea345677c4879bc19979e3,490.0,,0x,0
6,0x1f945752896314d26d6ab0471c1ad7a4c0829f1d1e6dc2562873248e85e64a14,7116334,1548289532,0xd55653c12369475fed6670d0fbb21c69c47caaa7,0x4b77f908e72890419bea345677c4879bc19979e3,10.0,,0x,0
7,0x24bee78c9b9db5c608355aeacfe3037e4ade384fa81dfacca471cadb2cc8825c,7116344,1548289655,0xd55653c12369475fed6670d0fbb21c69c47caaa7,0x4b77f908e72890419bea345677c4879bc19979e3,271.72,,0x,0
8,0x4bc7e5451b4880d0f76d47ea06eb3910cead524d5e41775b70995b8793948498,7123531,1548411576,0x60aa4d82aa767fc084db7ff865dd761235485396,0x4b77f908e72890419bea345677c4879bc19979e3,0.1541233577777778,,0x,0
9,0xa028b9be07523430af1f80343f17eebeb3ef9690deb5a3d1bc144d13e6702c3a,9187149,1577731003,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x4b77f908e72890419bea345677c4879bc19979e3,4.995,,0x,0
10,0xeb6062eb881d486521a090ed5b58ce22956b8fc4baa8484e5fd4939a8c756463,9187158,1577731276,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x4b77f908e72890419bea345677c4879bc19979e3,335.33756000000005,,0x,0
11,0xab1f4b3ad1ce001a6197a6b2854ec9c91b7d1dbb04fa6eb74e25a03784807eba,10054131,1589323939,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x4b77f908e72890419bea345677c4879bc19979e3,1.997,,0x,0
12,0x876d5af665aa45898cd109cfe6bcfe95884176a36493be18bd5d322b52869fed,10054195,1589324761,0x564286362092d8e7936f0549571a803b203aaced,0x4b77f908e72890419bea345677c4879bc19979e3,20.44350276,,0x,0
13,0x6fc28cacc5fe365e69520b9a04d9cbee7f29f6178216b5aef1ec17e16d2a9b31,11543400,1609171089,0x4b77f908e72890419bea345677c4879bc19979e3,0x28afc1d5eb3f891ca646b5f8354d4bfc66d3eb43,1.0,,0x,0
14,0xfeed64f9a4e67c57233db420c9c8aa6c754a2afde13036d5e99020d4d21bf487,11543509,1609172690,0x4b77f908e72890419bea345677c4879bc19979e3,0x28afc1d5eb3f891ca646b5f8354d4bfc66d3eb43,43.0,,0x,0
15,0x1321d7f81b2067724e6e98c25ea8fca05184291de04ff518c48c6dc48adf3e58,11582854,1609694812,0x4b77f908e72890419bea345677c4879bc19979e3,0x50c69fb5b8329d761f4ea8695b1ed1512bd34412,80.0,,0x,0
16,0xdba2478a7de6ee8e302bb18ae93d60bdc6c6c8fdb9cfb0314f71ca502abd5d24,12703220,1624623476,0x4b77f908e72890419bea345677c4879bc19979e3,0x50c69fb5b8329d761f4ea8695b1ed1512bd34412,5.0,,0x,0
17,0xa4d4a5d3e13a41fa6980c894d589d5fe3b956eaf9ceb5d4838650cd463f1900d,12703235,1624623679,0x4b77f908e72890419bea345677c4879bc19979e3,0x50c69fb5b8329d761f4ea8695b1ed1512bd34412,300.0,,0x,0
18,0xa72c235eb15809c1c438e9a67784ac282f65f15e7e2482c97e83d3396601fb23,12703273,1624624098,0x4b77f908e72890419bea345677c4879bc19979e3,0x50c69fb5b8329d761f4ea8695b1ed1512bd34412,714.0,,0x,0
19,0xe3c6883372e92f478465f7c595a661d05601a7f2c23a3000cac5c7033e318a6b,12703301,1624624464,0x4b77f908e72890419bea345677c4879bc19979e3,0x50c69fb5b8329d761f4ea8695b1ed1512bd34412,1.62525868,,0x,0
