,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
2,0xdd63005e400be38a908d49321dd4e762353e117f1249007eb508595d806eee2f,3942170,1498642934,0xcd17c7aa5db10d5de82611216a31fe2b5f95c019,0x5fb3d432bae33fcd418ede263d98d7440e7fa3ea,0.01,,0x,1
27,0xd33a16506967db5a8274d340b371e10c7e38437209e3c9e9b473b6be4ca04059,3943066,1498659093,0xaaa4fcd0776cb3c5872af2ea896fe59e8d27b4a9,0x5fb3d432bae33fcd418ede263d98d7440e7fa3ea,0.0676484,,0x,1
31,0x4de05e523f582015d2b74cf5c7afc59d76cba77456e4298fb0b6a5ed3337b279,3943104,1498659755,0x00d4861037f5978c018816668fa302cfbd550114,0x5fb3d432bae33fcd418ede263d98d7440e7fa3ea,299.97899999999703,,0x,1
34,0xff9859327928110173c6bd2fbe2ba4ca44bb0ad6923cb93b0fdec55a1a546b4e,3943182,1498661191,0xa45315981a6197b63ecb721385f2fbca3c6b4bb9,0x5fb3d432bae33fcd418ede263d98d7440e7fa3ea,0.349,,0x,1
35,0xbc807938114431b2cd5517718cf7d280bc4c97d693eba779937c1cd2adf7890a,3943225,1498662023,0xfb9a79d649b742fef6e1f7c036987198e2283162,0x5fb3d432bae33fcd418ede263d98d7440e7fa3ea,2.172,,0x,1
36,0xfecf8133dea05b758a58980377b17845fe9fe8a11ecbc4d0ce1250a05da44247,3943238,1498662268,0xe5540b5f89d84893833ab4d1a77d37ccb3e33890,0x5fb3d432bae33fcd418ede263d98d7440e7fa3ea,9.8,,0x,1
37,0x75f55080255551c1e4a3976507a19358bb423b6ec4c3c9295a90b3edc0fb4b22,3943248,1498662421,0x625a5b37fcbd55ca6bd1bd6b9892f16201bb5185,0x5fb3d432bae33fcd418ede263d98d7440e7fa3ea,0.12584542,,0x,1
38,0xfa53bcbe2874d419137f1a506ca82052fe1bb24056aa01ec52bb711b8f37ece7,3943248,1498662421,0x7b7bc52af223e68aa912cb993e53d28a7a824711,0x5fb3d432bae33fcd418ede263d98d7440e7fa3ea,1.3,,0x,1
39,0xabee2253b0cb0ad59a38bc002da24364696ae4a2c2d6212fb11b1b46bfdb3a39,3943278,1498662862,0x27d9815f82bc5254e1e6662003fe88bf2328d00a,0x5fb3d432bae33fcd418ede263d98d7440e7fa3ea,2.005,,0x,1
40,0xe2450de0eb09bb12b8e153b9ac5e487b2f21c614631c436e348cb167b3224c9f,3943278,1498662862,0xaaa4fcd0776cb3c5872af2ea896fe59e8d27b4a9,0x5fb3d432bae33fcd418ede263d98d7440e7fa3ea,0.0671654,,0x,1
41,0x8b0627c9b33ea7dc35e78780ee20e01057b050536281159ec27123efceb2e376,3943300,1498663426,0xaaa4fcd0776cb3c5872af2ea896fe59e8d27b4a9,0x5fb3d432bae33fcd418ede263d98d7440e7fa3ea,0.0672414,,0x,1
42,0xca86a325e772aef70996566c9832e9adfaf9128b4640173d169a21f7bafc904e,3943309,1498663551,0x7b7bc52af223e68aa912cb993e53d28a7a824711,0x5fb3d432bae33fcd418ede263d98d7440e7fa3ea,1.2,,0x,1
47,0x464a6be1c96d1eb5404ced65158ba9b3f92233590413a8f90bd633a858784fa3,3943479,1498666604,0x00ec1f8aff2fd7bcbc5613da3daf2a8a58395370,0x5fb3d432bae33fcd418ede263d98d7440e7fa3ea,5.0,,0x,1
48,0x3879d19757d1c987332563e30e9fc522f537942c8184e0f4010c8006878ec102,3943522,1498667338,0x7f4823876318fad7321fd813b7abd4a7c60c12a5,0x5fb3d432bae33fcd418ede263d98d7440e7fa3ea,1.0,,0x,1
49,0x65267d7c142bd859fbfaf3b3be2df6e2b9bce4af5b09d013f5c5f02cb459df7e,3943522,1498667338,0xd90ea6bb71a83952160536b6d3d35035cfd709a2,0x5fb3d432bae33fcd418ede263d98d7440e7fa3ea,8.121,,0x,1
50,0xeb22a134cf70f182e21fe75b195b0128cc03c097105d93bcc90323a8c48aaa65,3943522,1498667338,0xce8069bd0acc22f1da7acc3580cf35972e1a75aa,0x5fb3d432bae33fcd418ede263d98d7440e7fa3ea,4.2,,0x,1
51,0xe38ee84c12926bfb4258914a0e54ae0f09404def28d7f7c69874203c11f5cac1,3943522,1498667338,0x43d3caad3ed155b35bb56e0631ec6752a27d0101,0x5fb3d432bae33fcd418ede263d98d7440e7fa3ea,3.5,,0x,1
52,0xbba941d0fda8198a5fb4ee0e0342412a2c973de861cf5868c650b3a3ceb43daa,3943525,1498667353,0x390448fbaaa7a0d627005aa502e9970d8683e556,0x5fb3d432bae33fcd418ede263d98d7440e7fa3ea,2.4,,0x,1
53,0xd5676c96e7e0886feffb751c2233a45f4672e89d6fb30127caba2527017f86fd,3943526,1498667360,0xe59e4aac45862796cb52434967cf72ea46474ff3,0x5fb3d432bae33fcd418ede263d98d7440e7fa3ea,3.0,,0x,1
