,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x37cb4f07f5ed31346ede154133645b9c932cb6a7bb144b9fa030bbcb97463809,3652801,1493959729,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x78211eb39cde5162ca6e2f2e3e7c96ac7b81b880,57.26539,,0x,0
1,0xeb2897890ba4dfd2753a7f978e763608f48c278b5795b3ce9e54d7d136290c7d,3659522,1494062606,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x78211eb39cde5162ca6e2f2e3e7c96ac7b81b880,54.0708,,0x,0
2,0xb69341f0a9d070c0c2d9fa09178739e212d12f86f345783759bb91d7e8895c01,3666485,1494168485,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x78211eb39cde5162ca6e2f2e3e7c96ac7b81b880,54.61452,,0x,0
3,0x46fc406f53268bc0d4bc22c9eb92ebc77782eb9e937097b95525671de54abf83,3672185,1494255560,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x78211eb39cde5162ca6e2f2e3e7c96ac7b81b880,75.43912,,0x,0
4,0x40f510adf82cf7e0107c479db87ca8605191d08cdd00bf70bd7c146c66415d89,3678439,1494350901,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x78211eb39cde5162ca6e2f2e3e7c96ac7b81b880,57.28136,,0x,0
5,0x7422b2d9cf19f2a57786a56d84b958de0e9c25b85589e8b8a6d124ced0751470,3684177,1494438172,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x78211eb39cde5162ca6e2f2e3e7c96ac7b81b880,60.88231,,0x,0
6,0xa368726f8c20ed569471e09b03a8315ce381cc859ea02788521da85a1fbc60f8,3689893,1494524692,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x78211eb39cde5162ca6e2f2e3e7c96ac7b81b880,56.54968,,0x,0
7,0x35893c6fd3f9617cdece39b80a1241afdb13b4ee7d859bf6b0ef132587760622,3698248,1494652594,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x78211eb39cde5162ca6e2f2e3e7c96ac7b81b880,56.95128,,0x,0
8,0x6f4b4a75d4b634e4eb67401e55988041fc7affe1d07326a22c17ef8542e9a39d,3703907,1494740655,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x78211eb39cde5162ca6e2f2e3e7c96ac7b81b880,58.36718,,0x,0
9,0x3b77d68ddee2e86959a18ee8f899e5758b4b28490aea12e97dc1a3b9f01c7f47,3709403,1494827894,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x78211eb39cde5162ca6e2f2e3e7c96ac7b81b880,56.71553,,0x,0
10,0x933ee894ca43aab3818c1fd4c4a4ac1f46d197575ca0a49b16e2217fd07f9c90,3825862,1496692486,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x78211eb39cde5162ca6e2f2e3e7c96ac7b81b880,20.80984,,0x,0
11,0xd5636e387da1777fd0acc0532473938d2b8d2de68971bf34db6b4d6c6e6c5c18,3832803,1496808572,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x78211eb39cde5162ca6e2f2e3e7c96ac7b81b880,19.47231,,0x,0
12,0x5e1eda3d5f7b911294db06861e7a6f4285617faaff15eeb9dcbb6871eacfa3f2,3838490,1496901518,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x78211eb39cde5162ca6e2f2e3e7c96ac7b81b880,19.48732,,0x,0
13,0x6508f2d2d348be667d46e00ab7f290756d8fc7b10ebcf7e071fec4e3ad951342,3843734,1496988422,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x78211eb39cde5162ca6e2f2e3e7c96ac7b81b880,19.50411,,0x,0
14,0xcf4d919bce5c3cc68b54c146df356a030787ca1f79820dfe405b4efa96484b0e,3851188,1497111246,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x78211eb39cde5162ca6e2f2e3e7c96ac7b81b880,18.58791,,0x,0
