,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xe1606ca6bea88eb389d9f94779cbd69bea2e356f4047a8e13baac1f5bf32462e,3664237,1494134454,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x837f819a18780aead957b29bb010c1216852f7bc,16.74675675,,0x,0
1,0x26538499350bb38f91c963994ad868e32e0313aa85f680c580405df2563eeac1,3664243,1494134517,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x837f819a18780aead957b29bb010c1216852f7bc,50.23742318,,0x,0
2,0xf4c959a761fea3997062284c2ad8851b829ac27d2202dd26792fcce8ce1f8334,3664507,1494138892,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x837f819a18780aead957b29bb010c1216852f7bc,50.0910101,,0x,0
3,0x843baae7ac7909e263c767c2be48df4a961343c0354c32c57118972bd7e1fdfd,3664723,1494141958,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x837f819a18780aead957b29bb010c1216852f7bc,50.29066364,,0x,0
4,0xd5a4368f24a98be6a7e53a4fe407daa6883d4d4c7d26ccb642bff20ea60401fb,3665332,1494151294,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x837f819a18780aead957b29bb010c1216852f7bc,50.25590705,,0x,0
5,0xa5d8fbf1c15451f3e7536f4a435fe0e36a7c83780ba5d98fbea7c9b639c1355e,3666850,1494174128,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x837f819a18780aead957b29bb010c1216852f7bc,48.72190658000001,,0x,0
6,0x36b8527eb7db65d2d21f550fb430acc7b604280e8ee7d73d55531e944b738681,3667059,1494177128,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x837f819a18780aead957b29bb010c1216852f7bc,47.99,,0x,0
7,0xd35d68b65e9dcb2e95d17f48f5d2da634bf5d354ae40eb853afba73aaab70383,3667100,1494177684,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x837f819a18780aead957b29bb010c1216852f7bc,48.14957858,,0x,0
8,0x10ff2a1b1cf6861e316e8897067c3d7ebec8214e772e2190e0d3f2e7040c9ba3,3667293,1494181020,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x837f819a18780aead957b29bb010c1216852f7bc,48.88833148999999,,0x,0
9,0x40a53b6e75e98fcae69aaef8d9c1dc4109959bf403f548cbbf08ad09fa8b5145,3667293,1494181020,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x837f819a18780aead957b29bb010c1216852f7bc,48.96203945,,0x,0
10,0x8ca2954821ab1c0afaec6b0654a44f7f010d93a4b2a3467f173a099f524bd542,3667293,1494181020,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x837f819a18780aead957b29bb010c1216852f7bc,48.82663769,,0x,0
11,0xc133d3bf7a703d9c219a8f8581ed9ea1df37c7adc6f8acdf72c33647e6052b04,3667709,1494186898,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x837f819a18780aead957b29bb010c1216852f7bc,49.16099726,,0x,0
12,0x906d1f72801b4e5977ebedea606cddebd0cd85025e713e61379327330e0ce3bd,3667710,1494186922,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x837f819a18780aead957b29bb010c1216852f7bc,49.0354463,,0x,0
13,0x39ca7495d1af46862a9c7ecb1d25494e670eaa621f0401ead3eb34a33f379b94,3667818,1494188737,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x837f819a18780aead957b29bb010c1216852f7bc,49.75588628,,0x,0
14,0x5902e586c2ed03cb6faa5da59dba8f820a13e2ee4d5d0cf241238bae1f41db03,3667819,1494188757,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x837f819a18780aead957b29bb010c1216852f7bc,49.66582793,,0x,0
15,0x876252b4041942151d3df5d10a4025fb479c3ce813caa647b8b4ca5bccbc5d59,3667847,1494189225,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x837f819a18780aead957b29bb010c1216852f7bc,49.75588628,,0x,0
16,0x18741054b6d0660f7e96b13c6c04cb7b602bcfaae370b53cbf60a00a38264084,3735524,1495245161,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x837f819a18780aead957b29bb010c1216852f7bc,38.82707740000001,,0x,0
17,0xf7224716e432ffa1f8617acbea7f659ce7b6804035c14df46253b741a8894f01,3735531,1495245261,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x837f819a18780aead957b29bb010c1216852f7bc,37.29324766,,0x,0
18,0x494d8935039480711c7f12bd343e0131f0b738e1ade981627701a56cfbde5fe0,3735531,1495245261,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x837f819a18780aead957b29bb010c1216852f7bc,35.82594976,,0x,0
19,0x1881c3507becf9d983b7911f81d6850114c12f5ded801fcf5b60b9b153c77588,3735534,1495245301,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x837f819a18780aead957b29bb010c1216852f7bc,34.27490496,,0x,0
20,0xcb1a694b6a44fc8ae2878f1566e1a686dd41a3074d8cec1879c6cc56105e969c,3735543,1495245434,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x837f819a18780aead957b29bb010c1216852f7bc,37.56098384,,0x,0
21,0x1b9b19717e01c23baa79249d82a96de364dc98f5e6a0960dd021ed8575e744b0,3749564,1495466301,0xf7765d3902db21232fe28a8ad08f444ac397efa6,0x837f819a18780aead957b29bb010c1216852f7bc,1.536,,0x,0
22,0xc26021a4c8b92c88e4957833214b66f96a065b9ff07610b502f56e13f67ad55c,3817100,1496546891,0xb1f5998cae12e5095937b33c9f87c5690ab474cd,0x837f819a18780aead957b29bb010c1216852f7bc,8.79,,0x,0
23,0xdad7dc865a90f8b4ecd226b7a3c2bcbc2305e73376baa19a5bf3f17eb52801e5,3904190,1497979314,0xb1f5998cae12e5095937b33c9f87c5690ab474cd,0x837f819a18780aead957b29bb010c1216852f7bc,2.987,,0x,0
24,0x0639a10a504dbc454d59aaf0bd71d1213e871f31ec232692ecd90d754842fa02,10588887,1596485169,0x837f819a18780aead957b29bb010c1216852f7bc,0xd0b6f7909761308752167c62a55117770df110b2,27.546,,0x,0
25,0x9dfbb522e49224ebfea3f15155675d85e2c135ad71ecb12ed45e991cd4186e72,10588900,1596485361,0x837f819a18780aead957b29bb010c1216852f7bc,0x6a8ea756cb0eac742e0156f3956ab1f4d39d0834,25.0,,0x,0
26,0x544b4ec410090d67ce8cc079ff869b5040def0087a049155d7359a4b1ef06b03,10588917,1596485584,0x837f819a18780aead957b29bb010c1216852f7bc,0xd92b80a0676446ba9ad040dc11e58ec90c11ba6f,27.55,,0x,0
27,0xbfd79d2529fc5499de4243239cc63b3fe49970c0eaad11ebcc8909709b447b6b,10588931,1596485745,0x837f819a18780aead957b29bb010c1216852f7bc,0xdf1953d4df0ef641da5f43e7265052267755426b,28.0,,0x,0
28,0xf5bf458639f77524332d2d53b056db02f16fa068c34297c6ada4d387fe0c5cd2,10588949,1596486074,0x837f819a18780aead957b29bb010c1216852f7bc,0x29f7931944390da4048b6825a5f3a35c111ec40a,29.45,,0x,0
