,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xec24fe72ab8e8fd3586dd8d315061db6a8023fc05784fe198c7889512419ae70,3800428,1496269687,0x9c340c6e4bda0794d37fe0c7a81d62463c9c1f72,0x9cfd035bf4afefb002c484a2c126fa4677fc73f4,1.0,,0x,0
1,0x502ecf39e03a391fbd7dca11aa4df1296a5e4f0b85e4096790a1a049cd7f8e43,3831795,1496791063,0xaccc1d5e712d1b09c59db53f73c761d8eef0a903,0x9cfd035bf4afefb002c484a2c126fa4677fc73f4,377.0,,0x,0
2,0x9094b1c3ca8cc85f8216c522508bc6cd7ceb77714d40454c279216af18cf4175,3831815,1496791422,0xd9fded34aad5b3cf82bf49c2b1a0948e4fe39618,0x9cfd035bf4afefb002c484a2c126fa4677fc73f4,0.5,,0x,0
3,0xd9e45b69713382f35f88e379adc02fc61d3596577d0202a80fa96674af179014,3862489,1497296613,0xd24400ae8bfebb18ca49be86258a3c749cf46853,0x9cfd035bf4afefb002c484a2c126fa4677fc73f4,1041.398161,,0x,0
4,0xc6386b9c6386c436ab28695d7f9421078eb19f2afe75faff43fa5ffba513c776,3964497,1499027729,0x9cfd035bf4afefb002c484a2c126fa4677fc73f4,0xb56d622ddf60ec532b5f43b4ff9b0e7b1ff92db3,50.0,,0x946941ec2c7c0300925b441a4db08f4da2df2dd898a3760ebc3791c0,0
5,0xc660b30daf2f2638e3efe40cbda16812f39c7c1c1eddb3b1143120469cca0e5b,4756655,1513635830,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x9cfd035bf4afefb002c484a2c126fa4677fc73f4,141.47283000000002,,0x,0
6,0x7fa57bdcc9442b832cbe6a97c1b67f22eba242902c3e171a0a6d699ac313f877,4801959,1514312095,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x9cfd035bf4afefb002c484a2c126fa4677fc73f4,140.27094,,0x,0
7,0xf35c7983d40a5c23b2d2c10591df47ace81e18496efbb305e1b59c0c95826864,9437249,1581100869,0x9cfd035bf4afefb002c484a2c126fa4677fc73f4,0xde2508af484ff19eb5d6c18e50b97adab160b0e7,1.0,,0x,0
8,0x20c50f7e4f11aa177f3b6b65767217b11ac06665305c84e151f579d55db2068d,9437314,1581101550,0x9cfd035bf4afefb002c484a2c126fa4677fc73f4,0xde2508af484ff19eb5d6c18e50b97adab160b0e7,1.0,,0x,0
9,0x8bf59733c7365734f8acd477d1790bf39756c8724441f29da1934f8ed8dc6280,9437352,1581102166,0x9cfd035bf4afefb002c484a2c126fa4677fc73f4,0xde2508af484ff19eb5d6c18e50b97adab160b0e7,1649.64061,,0x,0
