,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
1,0x2065685e9c3a52c784f05c33f020d25e50b00425fd9c142fe08b016d2a43c019,1319323,1460410447,0x42ab7e691aa70aaaf6e3cb8373f9c3b15d8565dd,0xa864694cacdf27900afb3c32b1b07aea3c465dde,25.1,,0x,0
2,0x80424c7f403fe832ed900a0b03eafde7a5321897dd74621e5e942306f4205a4a,1322241,1460453763,0x2c9608d5cf3e0f42d025c00ed0aca13096e56bec,0xa864694cacdf27900afb3c32b1b07aea3c465dde,10.0,,0x,0
3,0x75ab0cdd3feee490e4cd632d983a79d1006681c0f61226c00c922064e91185ab,1327281,1460524888,0xa6e2e910515e6cf485462eeb6e454df33c60cb0e,0xa864694cacdf27900afb3c32b1b07aea3c465dde,4.0,,0x,0
4,0xe8b8b8a9a45560a5000a526bcda95412cd87488283e717d80c3c295d4d46cfbb,1327284,1460524935,0x42ab7e691aa70aaaf6e3cb8373f9c3b15d8565dd,0xa864694cacdf27900afb3c32b1b07aea3c465dde,2.0,,0x,0
5,0xa11ec372bad7ad18c667994508344a8471c969dcc7a0ca5c68cdd0cac8d194a6,1331133,1460580369,0x42ab7e691aa70aaaf6e3cb8373f9c3b15d8565dd,0xa864694cacdf27900afb3c32b1b07aea3c465dde,10.11,,0x,0
6,0xd7bc8136a76e4f635446b7e8043d40f8a233585416d3f54dd6d72923be31d160,1334157,1460623767,0x42ab7e691aa70aaaf6e3cb8373f9c3b15d8565dd,0xa864694cacdf27900afb3c32b1b07aea3c465dde,5.0,,0x,0
7,0xb9f0f94920fd5a262a84467f119ed0b2e591e2438cb88a9ac5eb23dfd29ef35f,1336965,1460664339,0x42ab7e691aa70aaaf6e3cb8373f9c3b15d8565dd,0xa864694cacdf27900afb3c32b1b07aea3c465dde,5.0,,0x,0
8,0x34a6d0e8d263693ccf465d6ba3bfaa99e6f8b1569fad79aadcfd51a6c9b12dfd,1339937,1460707133,0xec4c079dafe84579b31f8a68e170345742711f93,0xa864694cacdf27900afb3c32b1b07aea3c465dde,4.12,,0x,0
9,0xed9d8d28726ef8e8a8b0b7cc82907f75825dc26d18c8b06c7a0f6f6732ad702f,1340125,1460709646,0x42ab7e691aa70aaaf6e3cb8373f9c3b15d8565dd,0xa864694cacdf27900afb3c32b1b07aea3c465dde,7.0,,0x,0
10,0x6be7ba22643014b13ad724148c2519bfee267709d8b71da088b64842a7823440,1345413,1460785311,0x42ab7e691aa70aaaf6e3cb8373f9c3b15d8565dd,0xa864694cacdf27900afb3c32b1b07aea3c465dde,10.12,,0x,0
11,0x0e2d3f645a18227f654714ecd687cad456ebe52e24f5e970b89c624feec3410a,1357836,1460963459,0x42ab7e691aa70aaaf6e3cb8373f9c3b15d8565dd,0xa864694cacdf27900afb3c32b1b07aea3c465dde,3.12,,0x,0
12,0x92db37aa9676eb01953efc3226037ddcffdacbd5bd3afb3c39b185387fdf6813,1363672,1461046859,0xa6e2e910515e6cf485462eeb6e454df33c60cb0e,0xa864694cacdf27900afb3c32b1b07aea3c465dde,10.12,,0x,0
13,0xfa0c37c191446ec519f52fbd67055839322b3689c71166ffb978f2d0a8e09e39,1371628,1461161427,0x42ab7e691aa70aaaf6e3cb8373f9c3b15d8565dd,0xa864694cacdf27900afb3c32b1b07aea3c465dde,2.39,,0x,0
14,0xaf8c98e8a93e35db5999ddaa6eab3bc807d3cb8c7b290ee7ee82e775bb0fe925,1371836,1461164183,0x97eedb324b5ab7ddd100d027e990a05037e61b37,0xa864694cacdf27900afb3c32b1b07aea3c465dde,2.32,,0x,0
15,0x75aa77c678603a381ebe24b25362b8c2283146fe61039d2e01ad459bffc4b9c7,1376018,1461224207,0x2c9608d5cf3e0f42d025c00ed0aca13096e56bec,0xa864694cacdf27900afb3c32b1b07aea3c465dde,4.46,,0x,0
16,0x753a93d2f956b6214b6dd7c30f481e21277b9f1a50ea77920048afbbb659e085,1381615,1461305740,0x2c9608d5cf3e0f42d025c00ed0aca13096e56bec,0xa864694cacdf27900afb3c32b1b07aea3c465dde,22.3,,0x,0
