,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x0249f39fb610b499ae4a24231fa0a4cf10b9ff9773a4e7f7a04c48cf37c15fd8,2177238,1472703606,0x32be343b94f860124dc4fee278fdcbd38c102d88,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,9.99,,0x,0
1,0x730c4fd813bb0fcd687d3590dcc7547f9bbc6a41211c7dce6f22c0f8d30889d4,2177255,1472703902,0x32be343b94f860124dc4fee278fdcbd38c102d88,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,1630.05942966,,0x,0
2,0x570158d48a468e9c77b033ab3f7f464ee7cc9b33ea867c38addc7b62e81b455f,2189233,1472875564,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0x81aede09338bc86c9bb2f51d655fafe543320e71,1640.04898866,,0x,0
3,0x24ab648282e1eb2a444f3431197d10d065228697fb123897e8c92966d8a1203e,2236126,1473546366,0x32be343b94f860124dc4fee278fdcbd38c102d88,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,1774.5002056399999,,0x,0
4,0x3da501e946b4aebca663f2307ef3ef726fa35bdc173f330a748bef3e37519d31,2306153,1474545931,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0x81aede09338bc86c9bb2f51d655fafe543320e71,1774.49976464,,0x,0
5,0x02d103d1c719ee72c9afdf6faf62887d2f06d9deb7ce8a6e079cd2468e186c55,2312533,1474639250,0x32be343b94f860124dc4fee278fdcbd38c102d88,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,1712.3538262499999,,0x,0
6,0xae3ba1ebe72f929d5916bafee834009d9eecc9b6cecf27aef4d60ab253159df1,2328204,1474862949,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0x81aede09338bc86c9bb2f51d655fafe543320e71,1712.35338525,,0x,0
7,0xe857429c2023a00d05b94dcbb9034f3c64a6baa5a4221738521c14caf2ce1930,2340275,1475036687,0x32be343b94f860124dc4fee278fdcbd38c102d88,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,1408.86101968,,0x,0
8,0x956f78d1d5d1730f41c06bb5f26bc34d570015a03ab585ac36a6158293f08528,2656535,1479569663,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0xd3f3f311d0ad31854685511dbe5d91495695f25b,77.77783825,,0x,0
9,0xb92064c70f1cc2b72a95e7e6fe5429efa688257258b5086be66f2cd786acdb46,2753985,1480968065,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0x81aede09338bc86c9bb2f51d655fafe543320e71,10.0,,0x,0
10,0xb82a389609360efa3f3a88c996d9314d4a78b162f8ca5f847cb31a86dccc151f,2754239,1480971576,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0x81aede09338bc86c9bb2f51d655fafe543320e71,1000.0,,0x,0
11,0x64c62aa8c131e3a8c4b07f93aa325281d4458500bfca94449bef6c14006e8aba,2754242,1480971632,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0x81aede09338bc86c9bb2f51d655fafe543320e71,321.0813488286095,,0x,0
12,0xe9cba4cf4baf5320e89566bd39d76fb330bbad4b1051271106484e37209ea07c,2754604,1480976747,0x32be343b94f860124dc4fee278fdcbd38c102d88,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,1323.53062762,,0x,0
13,0x35d2870c72fefdddb41234db63d7d92ac7225a5bf5326b435092a46653999455,2813489,1481815181,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0x81aede09338bc86c9bb2f51d655fafe543320e71,100.0,,0x,0
14,0x0884f649f046ad7910b7da98ec3c97e99bdffba72b0af770007bf823652216d1,2823362,1481956145,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0x81aede09338bc86c9bb2f51d655fafe543320e71,1223.52978762,,0x,0
15,0xf651ccaed2217c98994c6407fbf531c76f9efa61f0544f460057d15b2eb711fb,2832370,1482083828,0x32be343b94f860124dc4fee278fdcbd38c102d88,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,1183.8238634299998,,0x,0
16,0x1aeae158ab5a1e02943e18ee758d0ca9f2617b7680a95e637fe1ebb48bb17cdf,3167999,1486877853,0x6c22697e285edcfb48994d1444cd0b906142a2ea,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,40.0,,0x,0
17,0x8d0d822b518b5585b0d80256ed9abb2055c1b16b4f2b7afd482413a30a8dbaaf,3168128,1486879824,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,77.70073913,,0x,0
18,0x8ec9fad17201d6efb4772466323887ae37c0b844cc25b1c6e154b76921350e33,3173904,1486962579,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0xa711ef8badadee62a7b52cd8c957ba18274d87f6,70.0,,0x,0
19,0xc78f9ccb94750d04559c34d6c65bd45c09b86c9856b21b5561ba8f69f58668d6,3242888,1487950267,0x6146789a103400c7ccfa45ec1adcbde22132cff8,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,10.0,,0x,0
20,0xd0ff898a6605e3461b0319492a71fe3cfea7edd85584dc340d8137de0951f5d4,3242892,1487950355,0xb242259a28933540b81ffcb7998c5fc856343951,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,298.1694323,,0x,0
21,0x8b002241fe533f3a6e56d3c419e936ec1a5f529e9337c9246d08e3f32388ffda,3362381,1489671407,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0x826eb7cd7319b82dd07a1f3b409071d96e39677f,1.0,,0x,0
22,0xe1e1e53396ca6f4f41f3ebff27401aa17340fa143ca454de65a9d61e145a51fa,3362398,1489671704,0x826eb7cd7319b82dd07a1f3b409071d96e39677f,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,67.083174259,,0x,0
23,0x6849816d8d4b66608d2a2b359be9c37dbb499c60a2a6eb8b805b890fc0564ce7,3464719,1491153123,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0x1b6007f1f60a5db39eacda001a30fe475ca9452b,5.77,,0x,0
24,0x9ab9a0ecf46e598b5fc4482593cd96191b1a74981eca794d832ca91762caf9c5,3524145,1492026338,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0x81aede09338bc86c9bb2f51d655fafe543320e71,100.0,,0x,0
25,0x08e03728591e5fe507440d0141acc3f13511502be74afa0fe734ff8665598af9,3524348,1492029569,0x32be343b94f860124dc4fee278fdcbd38c102d88,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,99.98939168,,0x,0
26,0xd34c0ade264f364ff3cc142b484ab7fb9cc133d4c623524f03205d8f61266c0e,3576618,1492805641,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0x3d7fa394128ded57763688158abd338a2376d2f2,2.25,,0x,0
27,0xc618d4ea14e5a6cd4cc0b709e772f35cdadc4b7801499a60a5e183ed36a353cd,3576694,1492806797,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0x6a294eb6a10eff84bcb4ba4ceb1b987bd8a76d07,0.107,,0x,0
28,0xb9572e827efb4058a57c36d1b93ba12bb8e564da87e1aa033c80c95bc4329d2c,3635497,1493695319,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0x81aede09338bc86c9bb2f51d655fafe543320e71,18.5,,0x,0
29,0x6e59c995e5cbf5516234b6fdc1ed9bd2e1e6226488fc9d23821ee2c05b3dcd3d,3795464,1496190354,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0xa02985c42a1820b70084dedf34777d8e40846d22,3.2,,0x,0
30,0x2111d1edd8bb1eea34bfbab83a670c12d0d30954d34d5fda5da1b296db9959fd,3798615,1496240233,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0x81aede09338bc86c9bb2f51d655fafe543320e71,150.0,,0x,0
31,0x4f3b2f26149bd80de3a4ce149573c40a5993fa466083d4c4ca5f00da0b8582fc,3803860,1496325948,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0x81aede09338bc86c9bb2f51d655fafe543320e71,40.0,,0x,0
32,0x9e3dac2c0ab79eea852268ca75c965fbe6ac9efd8035c958666e574231b2b805,3811246,1496449696,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0x525e1a4f0beb0430da96ab89aae9201d491b4008,0.65,,0x,0
33,0xd96b98826b01a82f33a31b85ab68d9564d30e084f35c448f54a9425e25e1630e,3826821,1496708243,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0xd9e3c3d232d1e185c86e5473f1f45c60c76d0c62,2.9860597,,0x,0
34,0xc4fe031fae81d5cb0c74fbd4bc5816dff21b75c24dd401ddc632922a745c4ec6,3826841,1496708531,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0xd9e3c3d232d1e185c86e5473f1f45c60c76d0c62,0.2,,0x,0
35,0x749604d0edc906478c0d5126338388743c5c95268bdd9270159f9cd8156a22de,3861741,1497284307,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0xeb959e67c87d95913347c2b7fefef86c9535dfc5,3.0,,0x,0
36,0xb0694a436c02836627ed8476e840bbc2193fa6e6d0829a2410fa239f028d7431,3861764,1497284678,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0xcfb5389618876140c16548811f60f320c38287a1,5.0,,0x,0
37,0x961686dac5332abcb3945444af7b834dece2efbb436dc16baf3adce7d2395abd,3933605,1498494308,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0xde4056fa1119631951c9404a797382069f39443e,0.5,,0x,0
38,0x442632220511dba27bb81f0febd90e9dcdea0562fba57b1b979ca1fdb2dd4182,4069755,1500951921,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0xa02985c42a1820b70084dedf34777d8e40846d22,8.0,,0x,0
39,0xba975fbab39c3a7e5c34b02f6941427a816d5d86bb2d312ed312959da98c02bd,4069811,1500952855,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0xa02985c42a1820b70084dedf34777d8e40846d22,0.5,,0x,0
40,0x1b580a5bd7bbf2a9a652c96f955f827d2c32f80c294752cbb928ef8a4fc785fb,4099836,1501508157,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0xde4056fa1119631951c9404a797382069f39443e,5.0,,0x,0
41,0x858fa4aeee14ced7f47241ff3323931285eca0ab0d87be0f160a248a20cab6bb,4110132,1501725253,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0x21df9a4d09e39c3d249f035b1a5e6ff079edd203,15.0,,0x,0
42,0x319d2168c4675a0eba784fbfed23906eb411adae4f584b0657b678a6ea54e218,4112411,1501775083,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0x8fa48bfc7e6ef5e5617784e61fbb6e6ad14d785b,6.18828206,,0x,0
43,0x66136a05abd920d714ebb23675a4ef9385597c4ae40f73649cdf505f4dc3a4f2,4158935,1502759485,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0x6b3c5948a3e94f595c6580f5b0e266a35cf39c7c,0.16167776,,0x,0
44,0x84a6a08052d62f09eda3f97b88de1edf495f92dfc214ebab72b94927c5d39c1c,4166806,1502924108,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0x1e2abb7f1729314d0df918b5aebfd0fe3a7f2931,2.04855095,,0x,0
45,0xdad6191b75d369f5cc631b4d1a21a24c733e8e007c18b88da99fd1193db2f2a0,4174039,1503074834,0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,0x9615470864d71f3961596d5c2f4bd8fe8af2010d,0.22828138,,0x,0
