,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x09afced881332472f1f39cc2aae146238d0da47d20d9424aee191975228ae6a6,3722397,1495036536,0x855787c021317d8c5f0519d6d48a8ceb47edfb22,0xec4303fa7617436ede99f4654ec3b066fbd53270,0.05,,0x,0
1,0x8e5cb4aa4a361729da9389b458111f27d359d47da6fd92ae9256b38e26819407,3750561,1495482363,0xec4303fa7617436ede99f4654ec3b066fbd53270,0x0296edf4eb266dce6e3cbf44565beeb4a500ba78,0.01,,0x,0
2,0x3708f3b95b659b4909079d88bcc1b38d5c3385398b8826dd5663f62d0dda5f65,3750576,1495482671,0x7c1bf92237a988ab8cc1af6a236b81766f28ef4a,0xec4303fa7617436ede99f4654ec3b066fbd53270,1.0,,0x,0
3,0x82a178cc3a49012f407ed2e52e3dfcdc427c7977ed95c5a36b2b25e03bddcb91,3750580,1495482748,0xec4303fa7617436ede99f4654ec3b066fbd53270,0x0296edf4eb266dce6e3cbf44565beeb4a500ba78,1.0,,0x,0
4,0x350beddccac911e1eb04408fb9bca3f12a28e655cc0777fcf6e3bd8b36b50831,3750587,1495482844,0xc1303896e4f4c19f6933dc98dc203c562d9bc76a,0xec4303fa7617436ede99f4654ec3b066fbd53270,500.0,,0x,0
5,0xaf8428af7672391bf758d1152ee64f72863b4cc319087af95ba28dd999b0a521,3750594,1495482999,0xc1303896e4f4c19f6933dc98dc203c562d9bc76a,0xec4303fa7617436ede99f4654ec3b066fbd53270,1500.0,,0x,0
6,0xfa68256b648abb1bca999e1b7ae7d0041faa99a12d6ac866d1d60d67629006c9,3750598,1495483062,0x097b4625ebae572823d755f96fd1535224eaf2ef,0xec4303fa7617436ede99f4654ec3b066fbd53270,235.688,,0x,0
7,0xb6db40e339592e053de7e60d8214d20627350bb447d92a466bcba687a7657a4d,3798695,1496241431,0xec4303fa7617436ede99f4654ec3b066fbd53270,0x0296edf4eb266dce6e3cbf44565beeb4a500ba78,500.0,,0x,0
8,0x6a2fde25ea5c1ffb8dfeb3ca18e9ae5227d23848026a82b816406211d1f15293,3803947,1496327250,0x0296edf4eb266dce6e3cbf44565beeb4a500ba78,0xec4303fa7617436ede99f4654ec3b066fbd53270,450.0,,0x,0
9,0x83ad3a5cadf5f829dceb881628f1205ad54f26b7091f9237f25efe3250ff0631,3900494,1497914832,0xec4303fa7617436ede99f4654ec3b066fbd53270,0x0296edf4eb266dce6e3cbf44565beeb4a500ba78,1.0,,0x,0
10,0xd69ccbfae5d019e39f90d4b0a5381eaf29e25441da92d6755042c18cfc9dd52e,3900498,1497914921,0xec4303fa7617436ede99f4654ec3b066fbd53270,0x0296edf4eb266dce6e3cbf44565beeb4a500ba78,399.0,,0x,0
15,0x078ae0ad8ab2e96ae146dc99d23a9a12a6cd0716579d0cb81fcc4df9976074a5,10784985,1599091648,0xec4303fa7617436ede99f4654ec3b066fbd53270,0x0296edf4eb266dce6e3cbf44565beeb4a500ba78,300.0,,0x,0
16,0xbda8ace6fc18ef5afa911bcfaf141ec665c9dc65b2e202df64127cc7599cc9dd,14430129,1647871517,0x0296edf4eb266dce6e3cbf44565beeb4a500ba78,0xec4303fa7617436ede99f4654ec3b066fbd53270,14.0,,0x,0
17,0x655fd52584244352c7b2c8e01df165a05bb2c5c296fc197898b6ea6d817818cd,14457414,1648238054,0x1ec9dd67af275fa69b6ecf7e4c3c4c0968a28fa8,0xec4303fa7617436ede99f4654ec3b066fbd53270,5.0,,0x,0
18,0x3e0d0328cc8608d7552973626693a5485d3945ec56c9ea3b299d1060d57b3578,14514318,1649004809,0x1ec9dd67af275fa69b6ecf7e4c3c4c0968a28fa8,0xec4303fa7617436ede99f4654ec3b066fbd53270,2.25,,0x,0
20,0x3d828a94f4f8afb693791b71db66561bb6c5fddcb0530a9ba3abdc3777f7e94b,19890626,1715960195,0xec4303fa7617436ede99f4654ec3b066fbd53270,0x8d2925f672ed76a741962029e85c1f31e3a6553d,0.1,,0x,0
21,0xb4f32976fa6542a0a3a714e6e370dd38165d638945b07249c336c4e8c303f545,19890629,1715960231,0x963737c550e70ffe4d59464542a28604edb2ef9a,0xec4303fa7617436ede99f4654ec3b066fbd53270,0.01171406,,0x,0
23,0xa181b8b99115364559b2730c0dc9633a257795687f0087e10b9c6a869b77ab2c,19890673,1715960771,0x8d29159737c6fbcb836ea03b3cbbfe808920553d,0xec4303fa7617436ede99f4654ec3b066fbd53270,1e-05,,0x,0
24,0x59ee6b1c89a0963be5a605692d44021ae5b09fafeb3110fb0604a703c984c825,19890727,1715961419,0xec4303fa7617436ede99f4654ec3b066fbd53270,0x8d2925f672ed76a741962029e85c1f31e3a6553d,1024.0,,0x,0
25,0xdd78438986b8b454865f3ea09c8879cabfbda0c6022fc2fbc52a66cf68b5f196,19898533,1716055871,0x8d299a1112e70da753bbaffba6160bc9f7a6553d,0xec4303fa7617436ede99f4654ec3b066fbd53270,1.024e-05,,0x,0
26,0x930a61985b7a992a62f3b1cc159a2de4d15bef5074f3ce468e8594c2fae8ec1f,20667776,1725339083,0x8d293e261bd8b5d4ce7d495d9f36cd316d61553d,0xec4303fa7617436ede99f4654ec3b066fbd53270,1e-10,,0x,0
