,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0xf07ed976dc3b25eeda4700750359f5240d6dde62a2045ee3d27ad86b61f84616,2208576,1473152918,0x6ff90b46441cb2da79daab12bc4e21a7a5d9774a,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,1.0,,0x,0
1,0xa39734c5af1e88d072e19c0dbbf2db01e7972fad853d4c1cbf510a189201c993,2208594,1473153120,0x6ff90b46441cb2da79daab12bc4e21a7a5d9774a,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,91.0,,0x,0
2,0x02fec1d117860c70d81e24aa7fe52b41b0b07ce28858bb8e2a847bac80e66add,2208600,1473153188,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,0x6ff90b46441cb2da79daab12bc4e21a7a5d9774a,1.0,,0x,0
3,0x69d508a4bbea02ad9974b16a036fce4e3fa50633a9987484475f0cd7e99f47f1,2223907,1473372136,0x6ff90b46441cb2da79daab12bc4e21a7a5d9774a,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,10.0,,0x,0
4,0x1f3388b3d42c9cd975253d6227987e5fd35bf88a6e42bcc105e48e11737e962b,2223930,1473372392,0x6ff90b46441cb2da79daab12bc4e21a7a5d9774a,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,391.96661499000004,,0x,0
5,0xc85fc34ada0aec02787140b988b1516ad4416523f03b90800c81ba2c772feff1,3483375,1491425204,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,12.5,,0x,1
6,0xadf90fe94cdd06263b303e2233fa501a8e805f2bac6421662e9879b7c4442b0a,3483495,1491427056,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,12.5,,0x,1
7,0x2cbb5ac8216bf1d0cc82af39ae014bc46dbda74848169cca0e9d28ac709f060f,3483518,1491427315,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,12.5,,0x,0
8,0xbe16d41fada9acfc84b7ce2f14e9f318c8e38365f66c90397ec25a21d71f2c58,3766301,1495732904,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,0x556c5148c317fdb97b0ee60b6de2835cb4e96e92,1.0,,0x,0
9,0x61dd3bcc2d0f2e04094d22b96e137353d153a31dfd0468ba0cbfdca555e557e1,3766313,1495733096,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,0x556c5148c317fdb97b0ee60b6de2835cb4e96e92,279.0,,0x,0
10,0xdda75197b63f69efcebd6c5987f69685229e40f783ec24b2a37ff59861310674,3871073,1497437689,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,2.695,,0x,0
11,0xba2ac95059eca19b3652b959a1d736c9e0ad4482e209dc8ea5848954a70bc68d,3872094,1497453604,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,0xc1d94a8cdee2a02ab9e263cef54b754c9413ac2f,0.195,,0x,0
12,0xd9c98eb810fdefdc3b7c5ba256d16fc68ca419e1fd62b38a196d0d6a8babeaf8,3872110,1497453835,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,0xc1d94a8cdee2a02ab9e263cef54b754c9413ac2f,2.5,,0x,0
13,0x53ab7025170625ee9ac2c95c9e791045bfdc15213a771f8b9d2208f55822bbef,4006432,1499754682,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,0.58,,0x,0
14,0xda91e850d246858e0f882878ffc47c4c53ea62322cf713a51fd6b9b07131de79,4006599,1499757831,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,0xba9fd5d55fa1a5106feb44651ebb7ae96959e8cc,0.58,,0x,0
15,0x0b27fa1514ff5e323a9c78e5a099e3d188e23deb57519813a236cb3036a44721,4030864,1500220280,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,301.69680001,,0x,0
16,0x74b5f8ad73174da47db7d2b075772614de9c44eb044a6d8210482406cfabefda,4143868,1502444336,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,3.85136834,,0x,0
17,0xcd8ac8ddd5d396d791af5aac02bd08c207ea35917e4f3d424e29cd468a66780a,4143869,1502444375,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,0x45b63428d09c3cdd786a129ab2f5a3bf8d9355f4,3.85136834,,0x,0
18,0xfdd5fa0dc401cc4794391f3fed516f8d985658f610a45ac7782048902929c1a7,4143948,1502446072,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,0.26,,0x,0
19,0xa241931e9491da13a79f8e9bb0c1e2e0f726513c25ee6d7396a70e84f1b24884,4143974,1502446452,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,0x45b63428d09c3cdd786a129ab2f5a3bf8d9355f4,0.26,,0x,0
20,0x267817c7d4f7f18ce7b3088ea9102243f898c88ce4da2376e056b047212c84b5,4152713,1502629715,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,3.46,,0x,0
21,0xfca5f402a3e4e0f413a44a27684d6f5f4e6c8232b97fa933e0f311623720e8bb,4152721,1502629921,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,0x5f519466b86ee5c25cafc6c0961e76c7970edb93,3.46,,0x,0
22,0x093326e3bcfeb53a3b75795c10730371a6d3f65fdd1a02ed5f720e6f385cb106,4189602,1503395821,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,6.1854069,,0x,0
23,0x5cfa53f82c72e9c62022540bc0c209d41eb591b2ef460893ea7067c91207d801,4189609,1503395970,0xfdba399c4a13655ade1cfca1498fef6cb4ef5eab,0x5f519466b86ee5c25cafc6c0961e76c7970edb93,4.0,,0x,0
